,input_1,input_2,input_3,input_4,input_5,input_6,output_1
0,1,1,1,1,3,1,1
1,1,1,1,1,3,2,1
2,1,1,1,3,2,1,1
3,1,1,1,3,3,2,1
4,1,1,2,1,2,1,1
5,1,1,2,1,2,2,1
6,1,1,2,2,3,1,1
7,1,1,2,2,4,1,1
8,1,1,2,3,1,2,1
9,1,2,1,1,1,2,1
10,1,2,1,1,2,1,0
11,1,2,1,1,3,1,0
12,1,2,1,1,4,2,0
13,1,2,1,2,1,1,1
14,1,2,1,2,3,1,0
15,1,2,1,2,3,2,0
16,1,2,1,2,4,2,0
17,1,2,1,3,2,1,0
18,1,2,1,3,4,2,0
19,1,2,2,1,2,2,0
20,1,2,2,2,3,2,0
21,1,2,2,2,4,1,0
22,1,2,2,2,4,2,0
23,1,2,2,3,2,2,0
24,1,2,2,3,3,1,0
25,1,2,2,3,3,2,0
26,1,3,1,1,2,1,0
27,1,3,1,1,4,1,0
28,1,3,1,2,2,1,0
29,1,3,1,2,4,1,0
30,1,3,1,3,1,2,1
31,1,3,1,3,2,2,0
32,1,3,1,3,3,1,0
33,1,3,1,3,4,1,0
34,1,3,1,3,4,2,0
35,1,3,2,1,2,2,0
36,1,3,2,2,1,2,1
37,1,3,2,2,2,2,0
38,1,3,2,2,3,2,0
39,1,3,2,2,4,1,0
40,1,3,2,2,4,2,0
41,1,3,2,3,1,1,1
42,1,3,2,3,2,1,0
43,1,3,2,3,4,1,0
44,1,3,2,3,4,2,0
45,2,1,1,1,3,1,0
46,2,1,1,1,3,2,0
47,2,1,1,2,1,1,1
48,2,1,1,2,1,2,1
49,2,1,1,2,2,2,0
50,2,1,1,2,3,1,0
51,2,1,1,2,4,1,0
52,2,1,1,2,4,2,0
53,2,1,1,3,4,1,0
54,2,1,2,1,2,2,0
55,2,1,2,1,3,1,0
56,2,1,2,1,4,2,0
57,2,1,2,2,3,1,0
58,2,1,2,2,4,2,0
59,2,1,2,3,2,2,0
60,2,1,2,3,4,1,0
61,2,2,1,1,2,1,1
62,2,2,1,1,2,2,1
63,2,2,1,1,3,1,1
64,2,2,1,2,3,2,1
65,2,2,1,3,1,1,1
66,2,2,1,3,1,2,1
67,2,2,1,3,2,2,1
68,2,2,1,3,3,2,1
69,2,2,1,3,4,2,1
70,2,2,2,1,1,1,1
71,2,2,2,1,3,2,1
72,2,2,2,1,4,1,1
73,2,2,2,1,4,2,1
74,2,2,2,2,2,1,1
75,2,2,2,3,4,1,1
76,2,3,1,1,1,1,1
77,2,3,1,2,1,1,1
78,2,3,1,2,3,1,0
79,2,3,1,3,1,2,1
80,2,3,1,3,3,1,0
81,2,3,1,3,4,2,0
82,2,3,2,1,3,2,0
83,2,3,2,2,1,1,1
84,2,3,2,2,1,2,1
85,2,3,2,2,2,1,0
86,2,3,2,3,3,2,0
87,3,1,1,1,1,1,1
88,3,1,1,1,1,2,1
89,3,1,1,2,1,1,1
90,3,1,1,2,2,2,0
91,3,1,1,3,2,2,0
92,3,1,2,1,1,1,1
93,3,1,2,1,2,2,0
94,3,1,2,2,2,2,0
95,3,1,2,2,3,2,0
96,3,1,2,3,2,2,0
97,3,2,1,1,1,1,1
98,3,2,1,1,4,2,0
99,3,2,1,2,1,2,1
100,3,2,1,2,4,2,0
101,3,2,2,1,1,1,1
102,3,2,2,1,1,2,1
103,3,2,2,1,3,2,0
104,3,2,2,3,1,1,1
105,3,2,2,3,2,1,0
106,3,2,2,3,4,1,0
107,3,3,1,1,1,1,1
108,3,3,1,1,2,1,1
109,3,3,1,1,4,2,1
110,3,3,1,2,3,2,1
111,3,3,1,2,4,2,1
112,3,3,1,3,1,2,1
113,3,3,1,3,2,1,1
114,3,3,1,3,2,2,1
115,3,3,1,3,4,2,1
116,3,3,2,1,1,1,1
117,3,3,2,1,3,2,1
118,3,3,2,1,4,1,1
119,3,3,2,1,4,2,1
120,3,3,2,3,1,2,1
121,3,3,2,3,2,2,1
122,3,3,2,3,3,2,1
123,3,3,2,3,4,2,1
