,input_1,input_2,input_3,input_4,input_5,input_6,output_1
0,1,1,1,1,2,2,0
1,1,1,1,1,4,1,0
2,1,1,1,2,1,1,0
3,1,1,1,2,1,2,0
4,1,1,1,2,2,1,0
5,1,1,1,2,3,1,0
6,1,1,1,2,4,1,0
7,1,1,1,3,2,1,0
8,1,1,1,3,4,1,0
9,1,1,2,1,1,1,0
10,1,1,2,1,1,2,0
11,1,1,2,2,3,1,0
12,1,1,2,2,4,1,0
13,1,1,2,2,4,2,1
14,1,1,2,3,1,2,0
15,1,1,2,3,2,2,1
16,1,2,1,1,1,2,0
17,1,2,1,2,1,2,0
18,1,2,1,2,2,2,1
19,1,2,1,2,3,1,0
20,1,2,1,2,3,2,1
21,1,2,1,2,4,1,0
22,1,2,1,3,1,1,0
23,1,2,1,3,1,2,0
24,1,2,1,3,2,2,1
25,1,2,1,3,3,1,0
26,1,2,1,3,3,2,1
27,1,2,1,3,4,1,0
28,1,2,1,3,4,2,1
29,1,2,2,1,2,1,0
30,1,2,2,1,4,1,0
31,1,2,2,2,3,1,1
32,1,2,2,2,4,1,1
33,1,2,2,3,1,1,0
34,1,2,2,3,1,2,1
35,1,2,2,3,3,1,1
36,1,2,2,3,3,2,0
37,1,2,2,3,4,1,1
38,1,2,2,3,4,2,0
39,1,3,1,1,1,2,0
40,1,3,1,1,2,2,0
41,1,3,1,1,3,1,0
42,1,3,1,1,3,2,0
43,1,3,1,2,2,1,0
44,1,3,1,2,2,2,1
45,1,3,1,2,3,2,1
46,1,3,1,2,4,1,0
47,1,3,1,3,2,2,1
48,1,3,1,3,3,1,0
49,1,3,1,3,4,2,1
50,1,3,2,1,3,1,0
51,1,3,2,1,3,2,1
52,1,3,2,1,4,1,0
53,1,3,2,2,1,2,1
54,1,3,2,2,3,2,0
55,1,3,2,2,4,2,0
56,1,3,2,3,2,1,1
57,2,1,1,1,1,1,0
58,2,1,1,1,2,2,0
59,2,1,1,1,3,1,0
60,2,1,1,2,2,2,1
61,2,1,1,3,1,2,0
62,2,1,1,3,2,2,1
63,2,1,1,3,3,2,1
64,2,1,1,3,4,1,0
65,2,1,2,1,1,1,0
66,2,1,2,1,2,2,1
67,2,1,2,1,4,1,0
68,2,1,2,2,2,1,1
69,2,1,2,2,4,2,0
70,2,1,2,3,1,1,0
71,2,1,2,3,1,2,1
72,2,1,2,3,2,2,0
73,2,1,2,3,3,2,0
74,2,1,2,3,4,2,0
75,2,2,1,1,3,1,0
76,2,2,1,1,4,2,1
77,2,2,1,2,1,1,0
78,2,2,1,2,3,1,1
79,2,2,1,3,3,1,1
80,2,2,1,3,3,2,0
81,2,2,1,3,4,1,1
82,2,2,2,1,1,1,0
83,2,2,2,1,2,2,0
84,2,2,2,1,3,2,0
85,2,2,2,1,4,1,1
86,2,2,2,1,4,2,0
87,2,2,2,2,1,1,1
88,2,2,2,2,2,2,0
89,2,2,2,2,3,1,0
90,2,2,2,3,1,1,1
91,2,2,2,3,2,1,0
92,2,2,2,3,2,2,0
93,2,2,2,3,4,2,0
94,2,3,1,1,1,1,0
95,2,3,1,1,1,2,0
96,2,3,1,1,3,2,1
97,2,3,1,2,1,1,0
98,2,3,1,2,3,1,1
99,2,3,1,2,3,2,0
100,2,3,1,2,4,2,0
101,2,3,1,3,1,2,1
102,2,3,1,3,2,1,1
103,2,3,1,3,4,1,1
104,2,3,2,1,1,2,1
105,2,3,2,1,2,1,1
106,2,3,2,1,3,1,1
107,2,3,2,1,4,2,0
108,2,3,2,2,1,1,1
109,2,3,2,2,2,1,0
110,2,3,2,2,3,2,0
111,2,3,2,3,3,1,0
112,2,3,2,3,3,2,0
113,2,3,2,3,4,2,0
114,3,1,1,1,4,1,0
115,3,1,1,2,1,2,0
116,3,1,1,2,2,2,1
117,3,1,1,2,3,2,1
118,3,1,1,2,4,1,0
119,3,1,1,2,4,2,1
120,3,1,1,3,1,1,0
121,3,1,1,3,1,2,0
122,3,1,1,3,2,2,1
123,3,1,1,3,3,2,1
124,3,1,2,1,1,1,0
125,3,1,2,1,2,2,1
126,3,1,2,1,3,1,0
127,3,1,2,1,3,2,1
128,3,1,2,1,4,1,0
129,3,1,2,1,4,2,1
130,3,1,2,2,2,1,1
131,3,1,2,3,1,2,1
132,3,1,2,3,2,1,1
133,3,1,2,3,2,2,0
134,3,1,2,3,4,2,0
135,3,2,1,1,1,2,0
136,3,2,1,1,2,2,1
137,3,2,1,1,3,1,0
138,3,2,1,1,3,2,1
139,3,2,1,2,1,2,1
140,3,2,1,2,2,1,1
141,3,2,1,3,1,1,0
142,3,2,1,3,2,1,1
143,3,2,1,3,3,1,1
144,3,2,1,3,3,2,0
145,3,2,2,1,1,1,0
146,3,2,2,1,2,2,0
147,3,2,2,1,3,1,1
148,3,2,2,1,3,2,0
149,3,2,2,2,1,1,1
150,3,2,2,2,2,1,0
151,3,2,2,2,2,2,0
152,3,2,2,2,3,2,0
153,3,2,2,3,1,1,1
154,3,2,2,3,3,2,0
155,3,2,2,3,4,2,0
156,3,3,1,1,1,1,0
157,3,3,1,1,2,1,0
158,3,3,1,1,3,1,0
159,3,3,1,1,3,2,1
160,3,3,1,2,3,2,0
161,3,3,2,1,1,1,0
162,3,3,2,2,1,1,1
163,3,3,2,2,2,1,0
164,3,3,2,2,3,1,0
165,3,3,2,2,3,2,0
166,3,3,2,3,1,1,1
167,3,3,2,3,2,1,0
168,3,3,2,3,4,2,0
